fxdj,gmbz,cplx,xsjz,xsqs,tzfw,cpmc,tzqx,sylx,fxyh,fxdq,yqsy,kfsh,qsje
固定收益型,网上，手机，PAD，网点,,2016-04-21 10:00,招银进宝系列,,鼎鼎成金960101号理财计划,,2.2%,招商银行,,2017-04-27,,
固定收益型,网上，手机，PAD，网点,,2016-04-20 10:00,招银进宝系列,,澳元鼎鼎成金0621号理财计划,,2.65％,招商银行,,2016-10-27,,
固定收益型,网上，手机，PAD，网点,,2016-04-21 10:00,招银进宝系列,,鼎鼎成金14490号理财计划-西安分行销售,98,4.15％,招商银行,,2016-08-03,,
固定收益型,网上，手机，PAD，网点,,2016-04-21 10:00,招银进宝系列,,私人增利系列89号理财计划,,4.3%,招商银行,,2016-10-18,,
固定收益型,网上，手机，PAD，网点,,2016-04-20 10:00,招银进宝系列,,鼎鼎成金14704号理财计划-深圳分行销售,80,4.30％,招商银行,,2016-07-15,,
固定收益型,网上，手机，PAD，网点,,2016-04-22 10:00,招银进宝系列,,鼎鼎成金14896号理财计划-南宁分行销售,210,4.45％,招商银行,,2016-12-01,,
固定收益型,网上，手机，PAD，网点,,2016-04-20 10:00,招银进宝系列,,金葵花增利系列211号理财计划,,,招商银行,,2016-07-05,,
固定收益型,网上，手机，PAD，网点,,2016-04-22 10:00,招银进宝系列,,鼎鼎成金14888号理财计划-南宁分行销售,179,4.40％,招商银行,,2016-10-31,,
固定收益型,网上，手机，PAD，网点,,2016-03-30 10:00,招银进宝系列,,金葵花增利系列189号理财计划,,,招商银行,,2016-05-11,,
固定收益型,网上，手机，PAD，网点,,2016-03-31 10:00,招银进宝系列,,私人增利系列75号理财计划,,4.35%,招商银行,,2016-06-07,,
固定收益型,网上，手机，PAD，网点,,2016-03-30 10:00,招银进宝系列,,金葵花增利系列187号理财计划-北京分行销售,84,,招商银行,,2016-06-28,,
固定收益型,网上，手机，PAD，网点,,2016-03-31 10:00,招银进宝系列,,私人增利系列72号理财计划,,4.2%,招商银行,,2016-05-10,,
固定收益型,网上，手机，PAD，网点,,2016-04-22 10:00,招银进宝系列,,金葵花增利系列215号理财计划,,,招商银行,,2016-10-14,,
